stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,0.5,16.5,55.246150143000705,,55.23403002499981,55.246150143000705,55.745148672998766,0.49913962300342973,55.76151169699733,56.04376069900172,56.05018799100071,left,-16.5,1,1,0.30448727699695155,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
23,0.5,16.0,56.06223555700126,,56.05037886500213,56.06223555700126,56.55999464300112,0.515804686001502,56.57768733899866,56.861053909000475,56.86866059999738,left,-16.0,0,0,0.2937355440008105,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
24,0.5,16.5,56.880808036003145,,56.86886336200405,56.880808036003145,57.379865155002335,0.5172531649950542,57.397911642998224,,57.515093900001375,right,16.5,0,0,0.11820817700208863,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
25,0.5,17.0,57.526621921002516,,57.5152850509985,57.526621921002516,58.028546938003274,0.5016066140015027,58.028546938003274,,58.084214857000916,right,17.0,1,1,0.05508138999721268,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
26,0.5,17.0,58.09630304000166,,58.08440121699823,58.09630304000166,58.593473822002125,0.5146832850005012,58.611604971003544,,58.81859733699821,right,17.0,1,1,0.21229286600282649,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
27,0.5,17.0,58.83066517500265,,58.81878100299946,58.83066517500265,59.327284985003644,0.5148425990046235,59.344921165000414,,59.51928382500046,right,17.0,1,1,0.18035515199881047,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
28,0.5,16.5,59.53140262299712,,59.51948600600008,59.53140262299712,60.02471220800362,0.5116575060019386,60.04191435800021,60.32882452200283,60.51895853399765,left,-16.5,1,1,0.48344020399963483,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
29,0.5,16.5,60.53238409200276,,60.519147084,60.53238409200276,61.02929770600167,0.5152206119964831,61.04572439099866,,61.117824909000774,right,16.5,1,1,0.06700284999533324,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
30,0.5,16.5,61.12991504200181,,61.11800404200039,61.12991504200181,61.62783558400406,0.5151937310001813,61.64463447599701,,61.73876957400353,right,16.5,1,1,0.10089248399890494,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
31,0.5,16.0,61.75064581300103,,61.73895211100171,61.75064581300103,62.247352113998204,0.5150078509977902,62.26660658999754,62.54135405799752,62.58010926299903,right,16.0,0,0,0.3171820870047668,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
32,0.5,16.5,62.59135273800348,,62.58031412499986,62.59135273800348,63.08353123899724,0.5094061920026434,63.102407152000524,,63.31948143000045,right,16.5,0,0,0.2263088539984892,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
33,0.5,17.0,63.331851290000486,,63.31968590299948,63.331851290000486,63.83085147399834,0.5167983709980035,63.84899561900238,,63.946723155000655,left,-17.0,1,1,0.10486980399582535,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
34,0.5,17.0,63.95976842500386,,63.94702596899879,63.95976842500386,64.44615260900173,0.5046411750008701,64.46331377099705,,64.54998944199906,right,17.0,0,0,0.08796923000045354,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
35,0.5,17.5,64.56327650800085,,64.55017348399997,64.56327650800085,65.06216357200174,0.4999906929951976,65.08008003899886,,65.17033666399948,right,17.5,0,0,0.10513688000355614,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
36,0.5,18.0,65.18233025600057,,65.1705287060031,65.18233025600057,65.67535872400185,0.5101850999999442,65.69223780000175,,65.71720184900187,right,18.0,0,0,0.03400657300517196,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
37,0.5,18.5,65.72918027899868,,65.71740230199794,65.72918027899868,66.22396218500216,0.5119532300013816,66.24206990800303,,66.24969228100235,right,18.5,1,1,0.013784356000542175,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
38,0.5,18.5,66.26266688600299,,66.24987699399935,66.26266688600299,66.76340911500301,0.4998161019975669,66.77963588100101,,66.84942348099867,right,18.5,1,1,0.0874933949962724,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
39,0.5,18.5,66.86137894199783,,66.84960726300051,66.86137894199783,67.35837748800259,0.5156431489958777,67.37700986600248,,67.41963099800341,right,18.5,1,1,0.04723541800194653,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
40,0.5,18.0,67.4318003139997,,67.41981880000094,67.4318003139997,67.92514968199976,0.5124585049998132,67.94380356799957,,68.0186265960001,right,18.0,1,1,0.08214097299787682,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
41,0.5,18.0,68.03074116900098,,68.01881112899719,68.03074116900098,68.52513308500056,0.5140447149969987,68.54424844300229,,68.5731546570023,right,18.0,0,0,0.01895699099986814,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
42,0.5,18.5,68.58450005699706,,68.57334288600396,68.58450005699706,69.07625524100149,0.5089464510019752,69.09385372300312,,69.12064216400177,left,-18.5,1,1,0.03118720000202302,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
43,0.5,18.5,69.13280828000279,,69.12082570500206,69.13280828000279,69.63413952299743,0.5005950650011073,69.63413952299743,69.94204694600194,70.21860292000201,right,18.5,1,1,0.5929477679965203,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
