46.0444 	INFO 	Loaded monitor calibration from ['2024_08_09 11:23']
32.5219 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'WordItem': 'couch', 'WordColor': None, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
32.5389 	INFO 	Keyboard events cleared
32.5372 	EXP 	textBlank: autoDraw = False
32.5372 	EXP 	textTestTrials: height = 0.05
32.5372 	EXP 	textTestTrials: height = 0.05
32.5372 	EXP 	textTestTrials: height = 0.05
32.5372 	EXP 	textTestTrials: text = 'couch'
32.5372 	EXP 	textTestTrials: autoDraw = True
34.3820 	DATA 	Keypress: n
34.3913 	EXP 	textTestTrials: autoDraw = False
34.3913 	EXP 	textBlank: autoDraw = True
34.8814 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'WordItem': 'bottle', 'WordColor': 'red', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
34.8971 	INFO 	Keyboard events cleared
34.8946 	EXP 	textBlank: autoDraw = False
34.8946 	EXP 	textTestTrials: height = 0.05
34.8946 	EXP 	textTestTrials: height = 0.05
34.8946 	EXP 	textTestTrials: height = 0.05
34.8946 	EXP 	textTestTrials: text = 'bottle'
34.8946 	EXP 	textTestTrials: autoDraw = True
35.6657 	DATA 	Keypress: y
35.6748 	EXP 	textTestTrials: autoDraw = False
35.6748 	EXP 	textBlank: autoDraw = True
36.1637 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'WordItem': 'excitement', 'WordColor': 'blue', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
36.1818 	INFO 	Keyboard events cleared
36.1813 	EXP 	textBlank: autoDraw = False
36.1813 	EXP 	textBlank: autoDraw = False
36.1813 	EXP 	textTestTrials: height = 0.05
36.1813 	EXP 	textTestTrials: height = 0.05
36.1813 	EXP 	textTestTrials: height = 0.05
36.1813 	EXP 	textTestTrials: text = 'excitement'
36.1813 	EXP 	textTestTrials: autoDraw = True
36.9010 	DATA 	Keypress: y
36.9238 	EXP 	textTestTrials: autoDraw = False
36.9238 	EXP 	textBlank: autoDraw = True
37.4140 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'WordItem': 'television', 'WordColor': None, 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
37.4327 	INFO 	Keyboard events cleared
37.4322 	EXP 	textBlank: autoDraw = False
37.4322 	EXP 	textBlank: autoDraw = False
37.4322 	EXP 	textTestTrials: height = 0.05
37.4322 	EXP 	textTestTrials: height = 0.05
37.4322 	EXP 	textTestTrials: height = 0.05
37.4322 	EXP 	textTestTrials: text = 'television'
37.4322 	EXP 	textTestTrials: autoDraw = True
38.2206 	DATA 	Keypress: n
38.2303 	EXP 	textTestTrials: autoDraw = False
38.2303 	EXP 	textBlank: autoDraw = True
38.7187 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'WordItem': 'croissant', 'WordColor': 'red', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
38.7366 	INFO 	Keyboard events cleared
38.7350 	EXP 	textBlank: autoDraw = False
38.7350 	EXP 	textTestTrials: height = 0.05
38.7350 	EXP 	textTestTrials: height = 0.05
38.7350 	EXP 	textTestTrials: height = 0.05
38.7350 	EXP 	textTestTrials: text = 'croissant'
38.7350 	EXP 	textTestTrials: autoDraw = True
39.6990 	DATA 	Keypress: y
39.7081 	EXP 	textTestTrials: autoDraw = False
39.7081 	EXP 	textBlank: autoDraw = True
40.2025 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'WordItem': 'fascinated', 'WordColor': None, 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
40.2200 	INFO 	Keyboard events cleared
40.2183 	EXP 	textBlank: autoDraw = False
40.2183 	EXP 	textTestTrials: height = 0.05
40.2183 	EXP 	textTestTrials: height = 0.05
40.2183 	EXP 	textTestTrials: height = 0.05
40.2183 	EXP 	textTestTrials: text = 'fascinated'
40.2183 	EXP 	textTestTrials: autoDraw = True
40.8864 	DATA 	Keypress: n
40.8961 	EXP 	textTestTrials: autoDraw = False
40.8961 	EXP 	textBlank: autoDraw = True
41.4127 	EXP 	textBlank: autoDraw = False
41.4127 	EXP 	text: autoDraw = True
42.8041 	DATA 	Keypress: space
44.9612 	DATA 	Keypress: space
46.4017 	EXP 	text: autoDraw = False
46.4017 	EXP 	short term memory: status = STOPPED
46.4158 	INFO 	saved data to '/Users/shrutigupta/Desktop/lab in psychology/SOLO PROJECT/data/5_short term memory_2024-12-06_19h11.44.226.csv'
46.4214 	INFO 	saved data to /Users/shrutigupta/Desktop/lab in psychology/SOLO PROJECT/data/5_short term memory_2024-12-06_19h11.44.226.psydat
46.9897 	EXP 	window1: mouseVisible = True
