reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,26,5,3,l,0.19651349499963544,None,3,5,26,4,41.682676611000716,,41.6700996160007,41.682676611000716,42.66432953800086,42.66432953800086,42.70908696600054,42.87549765900076,l,0.19651349499963544,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,27,6,3,t,0.47303572799955873,None,3,6,27,0,42.890966652000316,,42.87942992800072,42.890966652000316,43.88121019200025,43.88121019200025,43.90724506800052,44.36718501900032,t,0.47303572799955873,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,28,0,4,l,0.7046522040000127,None,4,0,28,4,44.383900417000405,,44.37198296400038,44.383900417000405,45.37209808900025,45.37209808900025,45.38649979600086,46.08205245100089,l,0.7046522040000127,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,29,1,4,t,0.2169624809994275,None,4,1,29,5,46.097122638000656,,46.08611514900076,46.097122638000656,47.091087144000085,47.091087144000085,47.10539409500052,47.312857659000656,t,0.2169624809994275,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,30,2,4,l,0.13151495200054342,None,4,2,30,1,47.329558881000594,,47.31687180300014,47.329558881000594,48.323620963000394,48.323620963000394,48.34153902400067,48.46508695200009,l,0.13151495200054342,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,31,3,4,t,0.21944896900004096,None,4,3,31,3,48.48115189100008,,48.46905426900048,48.48115189100008,49.47405895800057,49.47405895800057,49.493152746000305,49.70843937600057,t,0.21944896900004096,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,32,4,4,l,0.5626999870000873,None,4,4,32,6,49.72387026100023,,49.71248946600008,49.72387026100023,50.71473639400028,50.71473639400028,50.72956610300025,51.284740785000395,l,0.5626999870000873,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,33,5,4,l,0.352482536000025,None,4,5,33,0,51.30081690100087,,51.28918303700084,51.30081690100087,52.3069600660001,52.3069600660001,52.3069600660001,52.66933549300029,l,0.352482536000025,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,34,6,4,l,0.49823219499921834,None,4,6,34,2,52.685717810000824,,52.674695544000315,52.685717810000824,53.67937046100087,53.67937046100087,53.6934667810001,54.19097962200067,l,0.49823219499921834,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,35,0,5,t,0.47425200500038045,None,5,0,35,0,54.2061095880008,,54.194974657000785,54.2061095880008,55.19411444400066,55.19411444400066,55.208426776000124,55.67108023400033,t,0.47425200500038045,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,36,1,5,l,0.5042430080002305,None,5,1,36,4,55.687537820000216,,55.67626994400052,55.687537820000216,56.680006322000736,56.680006322000736,56.69377074000022,57.18821757000023,l,0.5042430080002305,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,37,2,5,l,0.3986296749999383,None,5,2,37,5,57.205023278000226,,57.19384909400014,57.205023278000226,58.19377739900028,58.19377739900028,58.20824023100067,58.59557436400064,l,0.3986296749999383,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,38,3,5,t,0.48275184800058923,None,5,3,38,2,58.61079892500038,,58.599587252000674,58.61079892500038,59.602251035000336,59.602251035000336,59.616971260000355,60.08768588900057,t,0.48275184800058923,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,39,4,5,l,0.48556841099980375,None,5,4,39,1,60.10387582900057,,60.092900423000174,60.10387582900057,61.093707240000185,61.093707240000185,61.10823448000065,61.58174087400039,l,0.48556841099980375,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,40,5,5,t,0.3440007350000087,None,5,5,40,3,61.59730748200036,,61.58618449900041,61.59730748200036,62.58095224100089,62.58095224100089,62.6067997400005,62.935830026000076,t,0.3440007350000087,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,41,6,5,l,0.41564998400008335,None,5,6,41,6,62.95242911800051,,62.94126075400072,62.95242911800051,63.933491312000115,63.933491312000115,63.964925071000835,64.35368324400042,l,0.41564998400008335,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,42,0,6,t,0.4385400450000816,None,6,0,42,3,64.37042118200043,,64.3592863240001,64.37042118200043,65.36376542300059,65.36376542300059,65.38992522200078,65.80853563500023,t,0.4385400450000816,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,43,1,6,l,0.42596783699991647,None,6,1,43,1,65.82357491700077,,65.8125013660001,65.82357491700077,66.82500982500005,66.82500982500005,66.82500982500005,67.25989402200048,l,0.42596783699991647,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,44,2,6,l,0.6587326600001688,None,6,2,44,4,67.27557644800072,,67.26390208500015,67.27557644800072,68.26532652600054,68.26532652600054,68.28129974700005,68.92852541500088,l,0.6587326600001688,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,45,3,6,t,0.42968797699995775,None,6,3,45,0,68.94422009600021,,68.9324514860009,68.94422009600021,69.93651048400079,69.93651048400079,69.95120319000034,70.37507552200077,t,0.42968797699995775,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,46,4,6,l,0.6204442730004303,None,6,4,46,5,70.39041905100021,,70.37914112100043,70.39041905100021,71.3775762460009,71.3775762460009,71.39211757800058,72.00337784500061,l,0.6204442730004303,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,47,5,6,t,0.4301316009996299,None,6,5,47,2,72.02042475500002,,72.00940245100082,72.02042475500002,73.01072429000033,73.01072429000033,73.02497787000084,73.44640501900085,t,0.4301316009996299,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,48,6,6,l,0.4937332809995496,None,6,6,48,6,73.46201787000064,,73.45040717400025,73.46201787000064,74.4559362330001,74.4559362330001,74.4706311000009,74.96144067200021,l,0.4937332809995496,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,49,0,7,t,0.4125218600001972,None,7,0,49,4,74.97788343500088,,74.96545441600028,74.97788343500088,75.96863227300037,75.96863227300037,75.98439797800074,76.38744023100026,t,0.4125218600001972,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,50,1,7,t,0.3385118740006874,None,7,1,50,3,76.40411308300008,,76.3929353400008,76.40411308300008,77.3906379200007,77.3906379200007,77.40367379200052,77.7369714840006,t,0.3385118740006874,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,51,2,7,t,0.4864072999998825,None,7,2,51,0,77.75371816500046,,77.74199215200042,77.75371816500046,78.73804543700044,78.73804543700044,78.75302831600038,79.23115236900048,t,0.4864072999998825,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,52,3,7,l,0.6211219019996861,None,7,3,52,6,79.24831386700043,,79.23570919200029,79.24831386700043,80.23639264400026,80.23639264400026,80.2519523610008,80.87244249700052,l,0.6211219019996861,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,53,4,7,t,0.4563638360004916,None,7,4,53,1,80.88819391800007,,80.87692209200031,80.88819391800007,81.8714061440005,81.8714061440005,81.88586895500066,82.34631870200064,t,0.4563638360004916,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,54,5,7,t,0.9488984339996023,None,7,5,54,2,82.36290579100023,,82.350341329,82.36290579100023,83.34398581500045,83.34398581500045,83.37267260600038,84.29844601700006,t,0.9488984339996023,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,55,6,7,t,0.3893643500005055,None,7,6,55,5,84.31361473300058,,84.30250682800033,84.31361473300058,85.30169377100083,85.30169377100083,85.31749460300034,85.69604698900002,t,0.3893643500005055,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,56,0,8,t,0.5134944850005922,None,8,0,56,5,85.70764246400086,,85.69626745500045,85.70764246400086,86.69333706600082,86.69333706600082,86.70768206100001,87.20972336100021,t,0.5134944850005922,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,57,1,8,t,0.694343466000646,None,8,1,57,0,87.2256706800008,,87.21438271100033,87.2256706800008,88.21919417100071,88.21919417100071,88.23395041600088,88.92084207400057,t,0.694343466000646,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,58,2,8,t,0.6163937339997574,None,8,2,58,1,88.93718206400081,,88.92607855000006,88.93718206400081,89.91901705600048,89.91901705600048,89.94912271900012,90.53886718400008,t,0.6163937339997574,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,59,3,8,t,0.5533125830006611,None,8,3,59,3,90.55473838100079,,90.54363935800029,90.55473838100079,91.54342209200058,91.54342209200058,91.55773159700038,92.1038970640002,t,0.5533125830006611,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,60,4,8,l,0.3150148079994324,None,8,4,60,2,92.12010389900024,,92.1088514030007,92.12010389900024,93.11452261400063,93.11452261400063,93.12955286400029,93.4414024860007,l,0.3150148079994324,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,61,5,8,l,0.4363350409994382,None,8,5,61,6,93.45706018000055,,93.4460376470006,93.45706018000055,94.44292230500014,94.44292230500014,94.45785034100027,94.88627061700026,l,0.4363350409994382,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,62,6,8,l,0.061622463000276184,None,8,6,62,4,94.90251593700032,,94.89151014700019,94.90251593700032,95.88528351700006,95.88528351700006,95.90038311400076,95.94963566700062,l,0.061622463000276184,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,63,0,9,l,0.2436703799994575,None,9,0,63,3,95.96570031900046,,95.95443766800054,95.96570031900046,96.95609025800059,96.95609025800059,96.97040992600068,97.20692980700005,l,0.2436703799994575,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,64,1,9,t,0.07111844099927112,None,9,1,64,5,97.22175613800027,,97.2109419010003,97.22175613800027,98.20445133400062,98.20445133400062,98.2196363030007,98.28276331600046,t,0.07111844099927112,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,65,2,9,l,0.2596203709999827,None,9,2,65,4,98.29790193600002,,98.2869105510008,98.29790193600002,99.2817238510006,99.2817238510006,99.29696835300001,99.55594263900002,l,0.2596203709999827,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,66,3,9,t,0.12130693699964468,None,9,3,66,1,99.57125090300087,,99.56018420500004,99.57125090300087,100.56076596000003,100.56076596000003,100.57505302500067,100.69417903200065,t,0.12130693699964468,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,67,4,9,l,0.15931934000036563,None,9,4,67,6,100.70950952500061,,100.69817365600011,100.70950952500061,101.7041616940005,101.7041616940005,101.71911192000061,101.8682542280003,l,0.15931934000036563,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,68,5,9,t,0.07549629000004643,None,9,5,68,0,101.88474526100072,,101.87277974900007,101.88474526100072,102.881428228,102.881428228,102.89694285300084,102.96053287000086,t,0.07549629000004643,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,69,6,9,t,0.1336466160000782,None,9,6,69,2,102.97585521000019,,102.96447862400055,102.97585521000019,103.97338192000007,103.97338192000007,103.98966745900088,104.1122881830006,t,0.1336466160000782,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,70,0,10,t,0.06898893100060377,None,10,0,70,2,104.12377089100028,,104.1125045810004,104.12377089100028,105.11233661500046,105.11233661500046,105.12622102200021,105.1893859490001,t,0.06898893100060377,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,71,1,10,t,0.21132887000021583,None,10,1,71,0,105.20465390100071,,105.19356642400089,105.20465390100071,106.20604288600043,106.20604288600043,106.20604288600043,106.43185001700022,t,0.21132887000021583,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,72,2,10,t,0.4510633190002409,None,10,2,72,4,106.44724695200057,,106.43587908800055,106.44724695200057,107.43593604500074,107.43593604500074,107.45080585800042,107.89370149800015,t,0.4510633190002409,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,73,3,10,l,0.4434076540001115,None,10,3,73,3,107.9109451710001,,107.89807179300078,107.9109451710001,108.89915149100034,108.89915149100034,108.91386090300057,109.35073082000054,l,0.4434076540001115,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,74,4,10,t,0.2709386179994908,None,10,4,74,5,109.36603941700014,,109.3549747420002,109.36603941700014,110.35375089700028,110.35375089700028,110.36793224400026,110.62983670000085,t,0.2709386179994908,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,75,5,10,l,0.02953774700017675,None,10,5,75,6,110.6451427610009,,110.63421678100076,110.6451427610009,111.63478357900021,111.63478357900021,111.64964179600065,111.67132786300044,l,0.02953774700017675,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,76,6,10,t,0.28615930900014064,None,10,6,76,1,111.68729175100088,,111.67615036000007,111.68729175100088,112.68254224200064,112.68254224200064,112.69742553100059,112.97463791000064,t,0.28615930900014064,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,77,0,11,l,0.262369592000141,None,11,0,77,4,112.99055460100044,,112.97870891500042,112.99055460100044,113.98493002900068,113.98493002900068,113.99979686000006,114.2585055970003,l,0.262369592000141,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,78,1,11,l,0.9038970660003542,None,11,1,78,5,114.27380597000047,,114.26262548100021,114.27380597000047,115.25794934200076,115.25794934200076,115.27230493600018,116.17868425000052,l,0.9038970660003542,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,79,2,11,t,0.6062852329996531,None,11,2,79,3,116.19495939300032,,116.18279741700007,116.19495939300032,117.18760552500044,117.18760552500044,117.20197396600088,117.79809319700053,t,0.6062852329996531,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
11.0,30.0,7.0,80,3,11,l,0.7923995560004187,None,11,3,80,0,117.81308191800053,,117.80234237900004,117.81308191800053,118.80379688300036,118.80379688300036,118.81830509200063,119.60102385100072,l,0.7923995560004187,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,81,4,11,l,0.3253814710005827,None,11,4,81,6,119.6171150780001,,119.60593235900069,119.6171150780001,120.60990629300068,120.60990629300068,120.62458684400008,120.94491032000042,l,0.3253814710005827,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,82,5,11,l,0.5298239800004012,None,11,5,82,2,120.96105421000084,,120.94934250900042,120.96105421000084,121.94366354800059,121.94366354800059,121.95848036400002,122.47830683200027,l,0.5298239800004012,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,83,6,11,t,0.4479382740000801,None,11,6,83,1,122.49367651100056,,122.48232794500018,122.49367651100056,123.49153172500064,123.49153172500064,123.50620591800089,123.94659034200049,t,0.4479382740000801,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
