trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
173,0,173,0,288.72462479997193,,288.699767699989,5,288.72462479997193,288.72462479997193,0.01566949998959899,290.3302568999934,[0.253125],[-0.3075],[1],[0],[0],[1.6152337999956217],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
174,0,174,0,290.37501359998714,,290.3338820999779,10,290.37501359998714,290.37501359998714,0.028254600008949637,291.64670109999133,[-0.224375],[-0.245625],[1],[0],[0],[1.2848713000130374],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
175,0,175,0,291.69037119997665,,291.65040779998526,10,291.69037119997665,291.69037119997665,0.029207600018708035,293.3301207999757,[-0.14375],[-0.42],[1],[0],[0],[1.6508051000128035],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
176,0,176,0,293.3764252999972,,293.3338575999951,10,293.3764252999972,293.3764252999972,0.029388100025244057,294.61274349997984,[-0.239375],[0.04],[1],[0],[0],[1.249865099991439],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
177,0,177,0,294.6578827999765,,294.6163553999795,10,294.6578827999765,294.6578827999765,0.028298999997787178,296.12890719997813,[-0.01625],[-0.0625],[1],[0],[0],[1.484596300026169],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
178,0,178,0,296.1743326999713,,296.1326820999966,10,296.1743326999713,296.1743326999713,0.02871820001746528,297.9295720999944,[-0.35375],[0.315625],[1],[0],[0],[1.7683018000097945],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
179,0,179,0,297.9573013999907,,297.9325724999944,5,297.9573013999907,297.9573013999907,0.01516870001796633,299.67968479997944,[-0.28625],[0.053125],[1],[0],[0],[1.73215870000422],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
180,0,180,0,299.72470649998286,,299.6833448999969,10,299.72470649998286,299.72470649998286,0.028619700024137273,301.11260069999844,[-0.14],[-0.015625],[1],[0],[0],[1.4010338000080083],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
181,0,181,0,301.13980749997427,,301.11626529999194,5,301.13980749997427,301.13980749997427,0.015528899995842949,302.89579089998733,[0.18875],[0.391875],[1],[0],[0],[1.764306700002635],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
182,0,182,0,302.9411823999835,,302.89963029997307,10,302.9411823999835,302.9411823999835,0.028542000014567748,304.8956406999787,[-0.2175],[-0.343125],[1],[0],[0],[1.967763799999375],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
183,0,183,0,304.9395525,,304.8993132999749,10,304.9395525,304.9395525,0.02823070000158623,306.1462375999836,[-0.031875],[-0.128125],[1],[0],[0],[1.2190419000107795],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
